customer_id,FN,Active,club_member_status,fashion_news_frequency,age
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,0,0,,NONE,25
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,1,1,ACTIVE,Regularly,32
0000f1c71aafe5963c3d195cf273f7bfd50bbf17761c9199e53dbb81641becd7,1,1,ACTIVE,Regularly,30
0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,1,1,ACTIVE,Regularly,44
00023e3dd8618bc63ccad995a5ac62e21177338d642d66b42e0038c6b10f655a,0,0,ACTIVE,NONE,24
00025f8226be50dcab09402a2cacd520a99e112fe01fddd1b10ea71270547b26,1,1,ACTIVE,Regularly,25
0002b7a7ab270a638fcb2eb5899c58696db24d9d954ddb43683dd6b0ffa292f0,1,1,ACTIVE,Regularly,52
0002f2f1deddc6f2504d96d65fa10ecbb22d7a13092b459efa085b5b9fec24c7,1,1,ACTIVE,Regularly,49
00035e92a9bd02a8e28e2e59721663fdeb39bfd57c486023522686214a56ca16,1,1,ACTIVE,Regularly,19
0003e9bbb9faf3937ad3a28a5bede5c1b896c1bc6c10354ed3487a5ffb4dd30e,0,0,ACTIVE,NONE,25
000416152a81973bebab23142bd5dd6ebd85c8c5e2d63e18eb6398b71864f219,0,0,ACTIVE,NONE,49
0004a7b3945dc17a51fa3b1a206749f0e3404e4f6ae8b6905ef5e56212e1fe38,0,0,ACTIVE,NONE,60
00058592fc65afabbb00b1bb7d33c6b221d00c6a98c62101ee96e12ebddbf0ee,0,0,ACTIVE,NONE,24
0005ef6698aeae9819c35dd1d63446f251797d07fe5b4a621beee30b36156181,1,1,ACTIVE,Regularly,50
000610a2daf19204bea9c8bf58dc30ed7d16948f46b266d0a420cc99e8658557,0,0,ACTIVE,NONE,21
000659db9979238065fe1f032cd87839b9a6ccf97d404f8513d6279281bda7e0,0,0,ACTIVE,NONE,22
0006d3ff0caf0cb4d4e0615ee5cb7d268622364d483335bf21fbf296e785e282,0,0,ACTIVE,NONE,36
000747860042b94e85707605c2a627c6ba30c4117d025d72cefdba58d73b8e21,0,0,ACTIVE,NONE,62
0007b8704284d09bac3c2590f187e0458a17e5f38a64ad52ec7bdc4a96bea703,0,0,ACTIVE,NONE,26
0007dee28686d359451fde7e6c53d1712dcca3fc50964e1e9ecef0349f36c5ac,0,0,ACTIVE,NONE,22
0008968c0d451dbc5a9968da03196fe20051965edde7413775c4eb3be9abe9c2,1,1,ACTIVE,Regularly,50
0008f331af4a75fa03b97fc9ae41cf8342f7f6dc648ae596f71070cbb23dc4a8,0,0,ACTIVE,NONE,42
000945fbfa84885dbf7c421f7a76d8cec39056551eb9659521bdcf55911441d6,1,1,ACTIVE,Regularly,52
000afd8e9c4f46dd652394191c326355a24bd552981b690aefbefdafd8a3c710,0,0,ACTIVE,NONE,21
000c6acfc0457b99ae3150e8e57beffb4c8d7c5fc31e40bfd721598d193a25a1,0,0,ACTIVE,NONE,56
000e2691ade6addc974a2d8767def5b5272d1c62883cc04a011658aaa13b2ecb,0,0,ACTIVE,NONE,28
000eae69313b4fc1824fa7e439f168cc140bf4c3f3a7e95722a62d209c296c60,1,1,ACTIVE,Regularly,67
000fb6e772c5d0023892065e659963da90b1866035558ec16fca51b0dcfb7e59,1,1,ACTIVE,Regularly,42
000fd548002726b75586e82114771cf408a6070ea71ba05a8b40f32309577c35,1,1,ACTIVE,Regularly,32
0010876c57885b66aea0c7787b608ca17725fc6882e270c7c01d3d5b90c7ccba,0,0,ACTIVE,NONE,31
0010bb1c4a9c39adb234a90c487fd472c843e3523f4b8d823b2ed87e6287366a,0,0,ACTIVE,NONE,53
00125440be6cd148c3599b9c5a2d55f5838c1b0257d35643038c38a60c691fe8,1,1,ACTIVE,Regularly,53
0012de007f6ec699a2976226a4b68d38433061ae2b3a8d9f6b1895e40af76083,1,1,ACTIVE,Regularly,28
00133b38b9a1a4f63851b110e649d31718396580a8bb9464a2f2260978314b17,1,1,PRE-CREATE,Regularly,33
001354f0aa112e85ad50b9bf85947f31d227f73c6f48a56d71bfe5b602f323fd,1,1,ACTIVE,Regularly,46
00143ec0632e65ee935f083c359df074db8f47cc488934241a1d637d60466172,0,0,ACTIVE,NONE,35
0015251a0dcebac75714f68f50a9a282731dc2c8269f7a20cfa81e144fb27551,1,1,ACTIVE,Regularly,48
00159bfc26c2cf788c09789f006fa698b24d0f1dbd83095a7b22e06c9d0fcb92,0,0,ACTIVE,NONE,53
0015f37f752a41a75c3be6f3f92deedc4c87d039f1758ec41f54f8c7f4729793,0,0,ACTIVE,NONE,26
0016295ec284490436b03c64f541565aa58dea449cacf55cb7fa98e1fef01539,0,0,ACTIVE,NONE,46
001674dc3a5fd1be9256feaecbf7a8a9ebd17232cb21881e3da87cefb35d6c27,0,0,ACTIVE,NONE,52
0018a4640de2338492de0fcc8325d6f6687d0c7980d804d8d8e4c5bfd24456d7,1,1,ACTIVE,Regularly,33
0018f0b2868c15674498fafde83508751d591dde7df6ba9da19a3a7dfc319c37,0,0,ACTIVE,NONE,51
0019c05146d30111b7003700c712f9354fb62f9b87e53b1c9cc9f0d22fb5c62b,0,0,ACTIVE,NONE,53
001ae5408a043f64bccd32beffe2730151414cbdf18a6eb3cc8d30bdca605652,1,1,ACTIVE,Regularly,50
001b09b8679f1efaefebab00c6d7fdeb036e2ca015605f7034620837e36ac66d,0,0,ACTIVE,NONE,22
001b219dc92b964f2bc708fcdc8248e4911b7459aa1fd3a5f20eb3201b477e29,0,0,ACTIVE,NONE,28
001ba9e81e13ce12a2585d9ebde923fe74429e9e12ea59f4f28a96267597fe52,1,1,ACTIVE,Regularly,25
001bb38fb639fd846db488522a7fb99d419daeea080d44060a97337368b67791,1,1,ACTIVE,Regularly,26
001c1f8d70782f450524d3b3f404474dbd4a7d0d2ad78a0ec7db76248ce08346,1,1,ACTIVE,Regularly,33
001c9399aeafc3c0fff46d9f86311c9cfba586671ae85fd095f4930e92bb674a,0,0,ACTIVE,NONE,21
001ea4e9c54f7e9c88811260d954edc059d596147e1cf8adc73323aebf571fd8,0,0,ACTIVE,NONE,25
001f3b0136dd6cf52c6a5097829b9624f4fa6e99e01cc9c5634901da77c088ce,0,0,ACTIVE,NONE,19
00201f34c8c92683263346d78c2b45ffd0c6927229542d8040a5c5c38b174eb6,0,0,ACTIVE,NONE,47
0020214808da2ebeee7b8eb0fe5bc50bb4f7f52c37ccfff693a080b5d1017134,0,0,ACTIVE,NONE,20
002033cd51a66068172a17898442d1df23072fe0869ac11b05e536be7f212542,0,0,ACTIVE,NONE,38
00214be842e883171f069a76195c40426688efc6ed2386e0673f2ac89a32b9d6,1,0,ACTIVE,Regularly,25
0021f82013462a5b4375944b35c4e88e464daf8d459cae357fcb99139e3ae83f,1,1,ACTIVE,Regularly,28
0024dea548c64fb75a563e0b300c0b16210decee446f1aa9ed6dcf2cc965d462,0,0,ACTIVE,NONE,68
0025cfff1323c3bea86204f4d1192ba5122e95ec680816673bb81b98b43e366a,1,1,ACTIVE,Regularly,46
0027150ffd9c029bf5a7a699d2d7f54749dd9a6c0f6852d5901e6aaad929570e,0,0,ACTIVE,NONE,41
002783d236df240067c1a24ea31797502f9f288b0ccd10248fe0e2613e9500e0,1,1,ACTIVE,Regularly,21
